test data proportion;recall;fall_out;precision;accuracy;f1_score
1;0.1;1.0;1.0;0.9714285714285714;0.9444444444444444;0.9855072463768115
1;0.2;1.0;1.0;0.9859154929577465;0.9722222222222222;0.9929078014184397
1;0.3;1.0;1.0;0.9714285714285714;0.9444444444444444;0.9855072463768115
1;0.4;1.0;1.0;0.9640287769784173;0.9305555555555556;0.9816849816849816
1;0.5;1.0;1.0;0.9710982658959537;0.9438202247191011;0.9853372434017595
0;0.1;1.0;1.0;0.9714285714285714;0.9444444444444444;0.9855072463768115
0;0.2;1.0;1.0;0.9714285714285714;0.9444444444444444;0.9855072463768115
0;0.3;1.0;1.0;0.9906542056074766;0.9814814814814815;0.9953051643192489
0;0.4;1.0;1.0;0.9714285714285714;0.9444444444444444;0.9855072463768115
0;0.5;1.0;1.0;0.9828571428571429;0.9662921348314607;0.9913544668587896
0;0.6;1.0;1.0;0.9809523809523809;0.9626168224299065;0.9903846153846153
0;0.7;1.0;1.0;0.9539748953974896;0.912;0.9764453961456103
0;0.8;1.0;1.0;0.9675090252707581;0.9370629370629371;0.98348623853211
0;0.9;1.0;1.0;0.7615384615384615;0.6149068322981367;0.8646288209606987
1;0.6;1.0;1.0;0.9611650485436893;0.9252336448598131;0.9801980198019802
1;0.7;1.0;1.0;0.9878542510121457;0.976;0.9938900203665988
1;0.8;1.0;1.0;0.9712230215827338;0.9440559440559441;0.9854014598540146
1;0.9;1.0;1.0;0.9047619047619048;0.8260869565217391;0.9500000000000001
0;0.6;1.0;1.0;0.9809523809523809;0.9626168224299065;0.9903846153846153
0;0.7;1.0;1.0;0.9539748953974896;0.912;0.9764453961456103
0;0.8;1.0;1.0;0.9675090252707581;0.9370629370629371;0.98348623853211
0;0.9;1.0;1.0;0.9612903225806452;0.9254658385093167;0.9802631578947368
